id,beh,beh_name,switches_beh,beh_seq,macro,sub
2030,3,Транспортная корзина,1,333333333333333330000000,3,1
2031,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
2032,4,Общепит и услуги,3,444400044444444433333333,0,4
2033,4,Общепит и услуги,1,444444444444444443333333,0,4
2034,3,Транспортная корзина,1,000000000033333333333333,0,1
2035,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
2036,0,Базовая корзина малых городов,0,000000000000000000000000,3,1
2037,1,Продукты и маркетплейсы,2,111111111111111110000011,3,0
2039,0,Базовая корзина малых городов,0,000000000000000000000000,3,0
2040,4,Общепит и услуги,4,000000444444444333332233,3,2
2041,0,Базовая корзина малых городов,1,333333000000000000000000,3,0
2042,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2043,1,Продукты и маркетплейсы,8,111133011313111111111110,3,0
2044,4,Общепит и услуги,1,444444444444444444333333,0,4
2045,0,Базовая корзина малых городов,2,000000000000000003333330,0,4
2046,1,Продукты и маркетплейсы,4,011111111111111110010000,3,0
2047,0,Базовая корзина малых городов,1,000000000000003333333333,0,1
2048,0,Базовая корзина малых городов,1,000000000000003333333333,0,1
2049,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2050,1,Продукты и маркетплейсы,2,111111111111111111111001,3,0
2051,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2052,1,Продукты и маркетплейсы,4,011111111111111111110100,3,1
2053,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2054,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2055,0,Базовая корзина малых городов,4,011000000100000000000000,3,1
2056,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2057,1,Продукты и маркетплейсы,4,111111111111011111111101,3,0
2058,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2059,0,Базовая корзина малых городов,2,000011111110000000000000,3,1
2060,0,Базовая корзина малых городов,1,000000000000003333333333,0,1
2061,1,Продукты и маркетплейсы,4,003331113111111111111111,3,1
2062,0,Базовая корзина малых городов,2,000000000000000003333000,0,1
2063,4,Общепит и услуги,1,444444444444444443333333,2,5
2064,0,Базовая корзина малых городов,2,011110000000000000000000,3,0
2065,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2066,1,Продукты и маркетплейсы,3,111111111111111111011000,3,0
2067,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2068,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2069,0,Базовая корзина малых городов,2,011000000000000000000000,3,0
2070,0,Базовая корзина малых городов,0,000000000000000000000000,0,1
2072,1,Продукты и маркетплейсы,0,111111111111111111111111,0,1
2073,0,Базовая корзина малых городов,2,000000011110000000000000,0,4
2074,0,Базовая корзина малых городов,1,000000000000333333333333,0,4
2075,1,Продукты и маркетплейсы,0,111111111111111111111111,0,1
2076,1,Продукты и маркетплейсы,2,111111111111333331111111,0,4
2077,1,Продукты и маркетплейсы,0,111111111111111111111111,3,1
2078,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2079,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2080,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2081,1,Продукты и маркетплейсы,1,111111111111111111111100,3,0
2082,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2085,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2087,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2088,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2089,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2090,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2091,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
2093,1,Продукты и маркетплейсы,0,111111111111111111111111,3,0
